ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_FILTREX,GOREV_1_FILTREY,GOREV_2_FILTREZ,GOREV_3_HAM_IVMEX,GOREV_4_HAM_IVMEY,GOREV_5_HAM_IVMEZ,GOREV_6_ENLEM,GOREV_7_BOYLAM,GOREV_8,GOREV_9
"01:18:36.036","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.04106154","-0.0182083","0.9555911","0","0","0","0","0","0","0"
"01:18:36.272","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.05418939","0.006127372","0.9324983","0","0","0","0","0","0","0"
"01:18:36.436","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04153759","-0.2944605","1.069944","0","0","0","0","0","0","0"
"01:18:36.634","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04470712","-0.7125812","1.32853","0","0","0","0","0","0","0"
"01:18:36.835","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.117361","-0.9584421","-1.149637","0","0","0","0","0","0","0"
"01:18:37.034","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03770521","-0.8643837","-1.58028","0","0","0","0","0","0","0"
"01:18:37.232","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.1985674","-0.9592405","-1.341447","0","0","0","0","0","0","0"
"01:18:37.432","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.1569844","-0.822047","-1.369479","0","0","0","0","0","0","0"
"01:18:37.632","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.06810829","-0.9193265","-1.474933","0","0","0","0","0","0","0"
"01:18:37.831","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.1039565","-0.8404938","-1.738663","0","0","0","0","0","0","0"
"01:18:38.031","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.1548633","-0.844186","-1.68698","0","0","0","0","0","0","0"
"01:18:38.231","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2312856","-0.7452782","-1.283058","0","0","0","0","0","0","0"
"01:18:38.429","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1224224","-0.4858387","-1.035637","0","0","0","0","0","0","0"
"01:18:38.628","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3226774","-0.4507707","-1.15664","0","0","0","0","0","0","0"
"01:18:38.829","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2380596","-0.3670676","-1.114678","0","0","0","0","0","0","0"
"01:18:39.028","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2472628","-0.1762069","-0.9760816","0","0","0","0","0","0","0"
"01:18:39.276","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1356044","-0.1923026","-1.061207","0","0","0","0","0","0","0"
"01:18:39.476","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.061987","-0.1808872","-1.024254","0","0","0","0","0","0","0"
"01:18:39.676","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03612325","-0.1725403","-1.017836","0","0","0","0","0","0","0"
"01:18:39.874","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.07862977","-0.1597256","-1.117741","0","0","0","0","0","0","0"
"01:18:40.074","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.04818647","-0.1728816","-1.032529","0","0","0","0","0","0","0"
"01:18:40.274","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03140341","-0.1589458","-1.0266","0","0","0","0","0","0","0"
"01:18:40.473","GOREV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.03256578","-0.1610624","-1.028836","0","0","0","0","0","0","0"
