ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4_NEM,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_DURUM,GOREV_1_EN,GOREV_2_BOY,GOREV_3_IVMEX,GOREV_4_IVMEY,GOREV_5_IVMEZ,GOREV_6_FILTREX,GOREV_7_FILTREY,GOREV_8_FILTREZ
"06:32:04.324","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.69","-82.67","14.75","11.85","-31.83","0.000000","0.000000","",""
"06:32:04.326","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-82.76","14.66","11.82","-31.87","0.000000","0.000000","",""
"06:32:04.487","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.69","-82.84","14.62","11.82","-31.90","0.000000","0.000000","",""
"06:32:04.677","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.69","-82.93","14.63","11.82","-31.94","0.000000","0.000000","",""
"06:32:04.836","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-83.01","14.68","11.95","-31.97","0.000000","0.000000","",""
"06:32:04.984","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.66","-83.10","14.84","11.80","-32.01","0.000000","0.000000","",""
"06:32:05.166","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.68","-83.18","14.70","11.70","-32.05","0.000000","0.000000","",""
"06:32:05.318","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.68","-83.27","14.57","11.83","-32.08","0.000000","0.000000","",""
"06:32:05.497","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.67","-83.36","14.75","11.83","-32.12","0.000000","0.000000","",""
"06:32:05.651","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-83.44","14.81","11.93","-32.16","0.000000","0.000000","",""
"06:32:05.822","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-83.53","14.63","11.97","-32.20","0.000000","0.000000","",""
"06:32:05.984","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.69","-83.61","14.60","11.84","-32.23","0.000000","0.000000","",""
"06:32:06.165","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.68","-83.70","14.74","11.83","-32.27","0.000000","0.000000","",""
"06:32:06.340","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.66","-83.79","14.63","11.77","-32.31","0.000000","0.000000","",""
"06:32:06.486","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.65","-83.87","14.64","11.81","-32.34","0.000000","0.000000","",""
"06:32:06.660","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.65","-83.96","14.58","11.96","-32.38","0.000000","0.000000","",""
"06:32:06.820","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.67","-84.04","14.61","11.78","-32.42","0.000000","0.000000","",""
"06:32:07.013","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.65","-84.13","14.76","11.97","-32.45","0.000000","0.000000","",""
"06:32:07.154","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.67","-84.22","14.79","11.97","-32.49","0.000000","0.000000","",""
"06:32:07.321","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.66","-84.30","14.43","11.88","-32.52","0.000000","0.000000","",""
"06:32:07.491","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.68","-84.39","14.64","11.96","-32.56","0.000000","0.000000","",""
"06:32:07.655","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-84.47","14.73","11.93","-32.60","0.000000","0.000000","",""
"06:32:07.822","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.64","-84.56","14.59","11.89","-32.63","0.000000","0.000000","",""
"06:32:07.991","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.67","-84.64","14.62","11.85","-32.67","0.000000","0.000000","",""
"06:32:08.157","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.66","-84.73","14.73","11.87","-32.71","0.000000","0.000000","",""
"06:32:08.323","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.30","18.65","-84.81","14.76","11.88","-32.74","0.000000","0.000000","",""
"06:32:08.579","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.64","-84.90","14.66","11.92","-32.78","0.000000","0.000000","",""
"06:32:08.656","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.66","-84.98","14.75","11.83","-32.82","0.000000","0.000000","",""
"06:32:08.824","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.64","-85.07","14.69","11.86","-32.85","0.000000","0.000000","",""
"06:32:09.071","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.65","-85.15","14.50","11.91","-32.89","0.000000","0.000000","",""
"06:32:09.157","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.68","-85.24","14.62","11.81","-32.93","0.000000","0.000000","",""
"06:32:09.330","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.63","-85.32","14.63","12.19","-32.96","0.000000","0.000000","",""
